Melyik másik játék motorhangjára hasonlít a Velocity Prolouge motorhangja, ami a videó nagyrészében hallható?|Driver: You Are The Wheelman|Network Q RAC Rally Championship|Grand Prix Circuit|4D Sports Driving|1|44
~|Stunt Racer|Stunts|Excitebike|Mach Rider|0|49
Hány pálya van a játékban?|3|4|5|6|1|49
"Szóval minden ugratós pálya egy gombnyomásra teljesíthetõ, akár ... is."|kézenállva|alvás közben|táncolva|állva tapsolva|2|49
Milyen platformra készült változatát játszotta Freddy a "Who Shot Johnny Rock?" nevû játéknak?|TV Távirányítós|DOS|Amiga Commodore|Commodore 64|0|50
"Jól van, jól van, jól van... gyerünk. Ááá a ... !"|seggtrombitás|liberós|lovas|triciklis|1|54
Mi az utolsó pálya kódja?|TEMPLAR|GRAIL|ELEMENTAL|NINCS|1|59
Ki a képen látható személy?|Ken Rosenberg|Diszkógyilkos|Juan|Zito|1|92
Milyen másik játékot készítettek a Dark Apes készítõi?|Dark Vampires|Airbone Hero|Lula 3D|A Mesterlövész|0|64
Hány féle fegyver van a játékban?|2|3|4|5|2|64
"Futni kell... futni kell. Ebbõl áll az egész játék."|Home Alone|Home Alone 2|Winthorp's Mansion|Ringriker|1|99
"Nézzétek, beveri a fejét és átváltozik a farkasemberré."|Winthorp's Mansion|Dark Apes|Dark Vampires|Home Alone 2|3|99
"Ez olyan, mintha A szupercsapatban kivennék azt a részt, amikor a sok szemétbõl, meg minden kacatból összebarkácsolják a csúcsfegyvert."|Dark Vampires|Red Baron|Mortyr 2093-1944|Frontline Berlin 1945|1|99
"Mi ez a fegyver?! Te úristen a Szellemírtók fegyverét elrabolták! Te kék nindzsa szégyelld magad!"|Mortal Kombat|Metal|Heat: Episode 1|Quake|1|99
"Itt még arra sem figyelnének fel ha egy istenverte fakanállal csapkodnék egy lábost."|Chronicles of a Vampire|A Mesterlövész|Airbone Hero|Winthorp's Mansion|0|99
"Nem baj, azért is végigviszlek te szar! Ha már eddig elvittem! *ERROR!*"|Ringriker|Streets Racer|Chronicles of a Vampire|Lula 3D|2|99
Melyik Rossz PC Játékok Sorozat részben jelenik meg újra a Los Gauchos?|Stalin Subway 2|Lula 3D|Deathbringer|The Heat of War|2|77
Milyen típusú játékot nem mutatott be Freddy?|Akció|Versenyzõs|Kaland|Stratégiai|3|99
Ki készítette a Save Assman nevû rajongói játékot?|BenyoBoy|LaLee|Bélabá|MegaBrutal|3|96
Ki készítette a FreddyD Kvíz nevû rajongói játékot?|MegaBrutal|Bélabá|Visor|BenyoBoy|1|95
